Year;Author;Topic;Count
2014;Drozg Vladimir (06179);Geography (Drozg Vladimir (06179));1
2016;Drozg Vladimir (06179);Geography (Drozg Vladimir (06179));1
2022;Jug Laura (55909);Medicine (Jug Laura (55909));1
2022;Peternelj Tina Tinkara (37589);Medicine (Peternelj Tina Tinkara (37589));1
2013;Aberšek Boris (04433);Materials Science (Aberšek Boris (04433));1
2014;Aberšek Boris (04433);Computer Science (Aberšek Boris (04433));1
2015;Aberšek Boris (04433);Computer Science (Aberšek Boris (04433));1
2019;Aberšek Boris (04433);Computer Science (Aberšek Boris (04433));2
2020;Aberšek Boris (04433);Computer Science (Aberšek Boris (04433));1
2022;Aberšek Boris (04433);Computer Science (Aberšek Boris (04433));1
2018;Aberšek Boris (04433);Medicine (Aberšek Boris (04433));1
2022;Aberšek Boris (04433);Medicine (Aberšek Boris (04433));1
2018;Aberšek Boris (04433);Psychology (Aberšek Boris (04433));1
2019;Aberšek Boris (04433);Psychology (Aberšek Boris (04433));1
2019;Aberšek Boris (04433);Sociology (Aberšek Boris (04433));2
2019;Aberšek Boris (04433);Engineering (Aberšek Boris (04433));1
2021;Aberšek Boris (04433);Engineering (Aberšek Boris (04433));1
2021;Aberšek Boris (04433);Business (Aberšek Boris (04433));1
2021;Aberšek Boris (04433);Philosophy (Aberšek Boris (04433));2
2022;Aberšek Boris (04433);Philosophy (Aberšek Boris (04433));1
2022;Aberšek Boris (04433);Education (Aberšek Boris (04433));2
2014;Klun Maja (19293);Economics (Klun Maja (19293));1
2021;Rajić Nevenka (10664);Chemistry (Rajić Nevenka (10664));1
2015;Todorović Biljana (53343);Chemistry (Todorović Biljana (53343));1
2015;Todorović Biljana (53343);Medicine (Todorović Biljana (53343));1
2021;Todorović Biljana (53343);Medicine (Todorović Biljana (53343));1
2022;Todorović Biljana (53343);Medicine (Todorović Biljana (53343));1
2017;Todorović Biljana (53343);Biology (Todorović Biljana (53343));1
2013;Kuder Marko (33579);Computer Science (Kuder Marko (33579));1
2014;Botić Tanja (27839);Chemistry (Botić Tanja (27839));1
2015;Botić Tanja (27839);Chemistry (Botić Tanja (27839));1
2017;Botić Tanja (27839);Chemistry (Botić Tanja (27839));1
2014;Botić Tanja (27839);Biology (Botić Tanja (27839));1
2014;Botić Tanja (27839);Medicine (Botić Tanja (27839));1
2017;Botić Tanja (27839);Medicine (Botić Tanja (27839));1
2015;Botić Tanja (27839);Environmental Science (Botić Tanja (27839));1
2017;Čorović Selma (27964);Computer Science (Čorović Selma (27964));1
2015;Nerat Jasmina (21944);Education (Nerat Jasmina (21944));1
2017;Nerat Jasmina (21944);Medicine (Nerat Jasmina (21944));2
2021;Nerat Jasmina (21944);Medicine (Nerat Jasmina (21944));1
2013;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));1
2014;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));1
2018;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));2
2019;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));1
2020;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));1
2021;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));2
2022;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));1
2013;Kotnik Petra (21689);Medicine (Kotnik Petra (21689));1
2018;Kotnik Petra (21689);Medicine (Kotnik Petra (21689));1
2019;Kotnik Petra (21689);Medicine (Kotnik Petra (21689));1
2020;Kotnik Petra (21689);Medicine (Kotnik Petra (21689));1
2021;Kotnik Petra (21689);Medicine (Kotnik Petra (21689));2
2022;Kotnik Petra (21689);Medicine (Kotnik Petra (21689));5
2016;Kotnik Petra (21689);Materials Science (Kotnik Petra (21689));1
2022;Kotnik Petra (21689);Materials Science (Kotnik Petra (21689));1
2018;Djokić Danila (31330);Economics (Djokić Danila (31330));1
2018;Brezovec Barbara (27803);Computer Science (Brezovec Barbara (27803));1
2019;Brezovec Barbara (27803);Computer Science (Brezovec Barbara (27803));1
2014;Žlender Božidar (03100);Mathematics (Žlender Božidar (03100));1
2014;Žlender Božidar (03100);Medicine (Žlender Božidar (03100));1
2013;Kargl Rupert (36303);Chemistry (Kargl Rupert (36303));2
2014;Kargl Rupert (36303);Chemistry (Kargl Rupert (36303));2
2015;Kargl Rupert (36303);Chemistry (Kargl Rupert (36303));1
2016;Kargl Rupert (36303);Chemistry (Kargl Rupert (36303));1
2017;Kargl Rupert (36303);Chemistry (Kargl Rupert (36303));4
2018;Kargl Rupert (36303);Chemistry (Kargl Rupert (36303));2
2019;Kargl Rupert (36303);Chemistry (Kargl Rupert (36303));6
2020;Kargl Rupert (36303);Chemistry (Kargl Rupert (36303));1
2021;Kargl Rupert (36303);Chemistry (Kargl Rupert (36303));3
2013;Kargl Rupert (36303);Medicine (Kargl Rupert (36303));5
2014;Kargl Rupert (36303);Medicine (Kargl Rupert (36303));4
2015;Kargl Rupert (36303);Medicine (Kargl Rupert (36303));2
2016;Kargl Rupert (36303);Medicine (Kargl Rupert (36303));1
2017;Kargl Rupert (36303);Medicine (Kargl Rupert (36303));6
2018;Kargl Rupert (36303);Medicine (Kargl Rupert (36303));1
2019;Kargl Rupert (36303);Medicine (Kargl Rupert (36303));5
2020;Kargl Rupert (36303);Medicine (Kargl Rupert (36303));3
2021;Kargl Rupert (36303);Medicine (Kargl Rupert (36303));6
2022;Kargl Rupert (36303);Medicine (Kargl Rupert (36303));5
2013;Kargl Rupert (36303);Materials Science (Kargl Rupert (36303));4
2014;Kargl Rupert (36303);Materials Science (Kargl Rupert (36303));4
2015;Kargl Rupert (36303);Materials Science (Kargl Rupert (36303));1
2016;Kargl Rupert (36303);Materials Science (Kargl Rupert (36303));1
2017;Kargl Rupert (36303);Materials Science (Kargl Rupert (36303));4
2018;Kargl Rupert (36303);Materials Science (Kargl Rupert (36303));8
2020;Kargl Rupert (36303);Materials Science (Kargl Rupert (36303));2
2021;Kargl Rupert (36303);Materials Science (Kargl Rupert (36303));2
2022;Kargl Rupert (36303);Materials Science (Kargl Rupert (36303));2
2018;Kargl Rupert (36303);Engineering (Kargl Rupert (36303));1
2019;Kargl Rupert (36303);Physics (Kargl Rupert (36303));1
2013;Lubej Samo (05522);Materials Science (Lubej Samo (05522));1
2016;Lubej Samo (05522);Materials Science (Lubej Samo (05522));1
2019;Lubej Samo (05522);Materials Science (Lubej Samo (05522));2
2020;Lubej Samo (05522);Materials Science (Lubej Samo (05522));1
2021;Lubej Samo (05522);Materials Science (Lubej Samo (05522));1
2022;Lubej Samo (05522);Materials Science (Lubej Samo (05522));1
2014;Lubej Samo (05522);Engineering (Lubej Samo (05522));1
2019;Lubej Samo (05522);Computer Science (Lubej Samo (05522));1
2020;Lubej Samo (05522);Computer Science (Lubej Samo (05522));3
2022;Lubej Samo (05522);Computer Science (Lubej Samo (05522));1
2020;Lubej Samo (05522);Medicine (Lubej Samo (05522));1
2021;Lubej Samo (05522);Medicine (Lubej Samo (05522));1
2022;Lubej Samo (05522);Medicine (Lubej Samo (05522));1
2021;Lubej Samo (05522);Geology (Lubej Samo (05522));1
2015;Pehan Stanislav (03700);Engineering (Pehan Stanislav (03700));2
2017;Pehan Stanislav (03700);Engineering (Pehan Stanislav (03700));1
2018;Pehan Stanislav (03700);Engineering (Pehan Stanislav (03700));2
2021;Pehan Stanislav (03700);Computer Science (Pehan Stanislav (03700));1
2013;Černelč Peter (07012);Medicine (Černelč Peter (07012));1
2016;Koprivnik Minka (38918);Psychology (Koprivnik Minka (38918));1
2014;Babič Matej (32712);Engineering (Babič Matej (32712));1
2022;Plesec Vasja (53576);Engineering (Plesec Vasja (53576));1
2020;Voršič Ines (33264);Chemistry (Voršič Ines (33264));1
2017;Ravber Miha (38213);Computer Science (Ravber Miha (38213));1
2018;Ravber Miha (38213);Computer Science (Ravber Miha (38213));2
2019;Ravber Miha (38213);Computer Science (Ravber Miha (38213));2
2020;Ravber Miha (38213);Computer Science (Ravber Miha (38213));1
2021;Ravber Miha (38213);Computer Science (Ravber Miha (38213));2
2022;Ravber Miha (38213);Computer Science (Ravber Miha (38213));2
2013;Bešter-Rogač Marija (04657);Materials Science (Bešter-Rogač Marija (04657));1
2018;Bjelić Ana (52432);Chemistry (Bjelić Ana (52432));2
2018;Urbič Tomaž (19315);Materials Science (Urbič Tomaž (19315));1
2013;Rosi Bojan (29454);Engineering (Rosi Bojan (29454));1
2015;Rosi Bojan (29454);Engineering (Rosi Bojan (29454));1
2016;Rosi Bojan (29454);Engineering (Rosi Bojan (29454));2
2013;Rosi Bojan (29454);Business (Rosi Bojan (29454));1
2015;Rosi Bojan (29454);Business (Rosi Bojan (29454));2
2016;Rosi Bojan (29454);Business (Rosi Bojan (29454));1
2017;Rosi Bojan (29454);Business (Rosi Bojan (29454));2
2019;Rosi Bojan (29454);Business (Rosi Bojan (29454));3
2020;Rosi Bojan (29454);Business (Rosi Bojan (29454));2
2013;Rosi Bojan (29454);Sociology (Rosi Bojan (29454));1
2015;Rosi Bojan (29454);Sociology (Rosi Bojan (29454));1
2017;Rosi Bojan (29454);Computer Science (Rosi Bojan (29454));1
2020;Rosi Bojan (29454);Computer Science (Rosi Bojan (29454));2
2021;Rosi Bojan (29454);Computer Science (Rosi Bojan (29454));1
2017;Rosi Bojan (29454);Economics (Rosi Bojan (29454));1
2018;Rosi Bojan (29454);Economics (Rosi Bojan (29454));1
2020;Rosi Bojan (29454);Chemistry (Rosi Bojan (29454));1
2021;Rosi Bojan (29454);Political Science (Rosi Bojan (29454));1
2021;Goričanec Tanja (39521);Physics (Goričanec Tanja (39521));1
2020;Brlek Aljaž (54612);Geography (Brlek Aljaž (54612));1
2020;Brlek Aljaž (54612);Medicine (Brlek Aljaž (54612));1
2019;Hribernik Mitja (29061);Computer Science (Hribernik Mitja (29061));1
2019;Hribernik Mitja (29061);Materials Science (Hribernik Mitja (29061));1
2015;Vukovič Goran (13811);Engineering (Vukovič Goran (13811));1
2015;Vukovič Goran (13811);Business (Vukovič Goran (13811));1
2020;Vukovič Goran (13811);Business (Vukovič Goran (13811));3
2016;Vukovič Goran (13811);Psychology (Vukovič Goran (13811));1
2018;Vukovič Goran (13811);Psychology (Vukovič Goran (13811));1
2020;Vukovič Goran (13811);Psychology (Vukovič Goran (13811));1
2020;Vukovič Goran (13811);Medicine (Vukovič Goran (13811));1
2022;Vukovič Goran (13811);Medicine (Vukovič Goran (13811));1
2021;Vukovič Goran (13811);Education (Vukovič Goran (13811));1
2022;Vukovič Goran (13811);Education (Vukovič Goran (13811));1
2014;Zdolšek Draksler Tanja (34771);Business (Zdolšek Draksler Tanja (34771));1
2021;Zdolšek Draksler Tanja (34771);Business (Zdolšek Draksler Tanja (34771));1
2018;Zdolšek Draksler Tanja (34771);Sociology (Zdolšek Draksler Tanja (34771));1
2020;Razdevšek Gašper (51913);Materials Science (Razdevšek Gašper (51913));1
2020;Razdevšek Gašper (51913);Medicine (Razdevšek Gašper (51913));1
2020;Razdevšek Gašper (51913);Physics (Razdevšek Gašper (51913));1
2022;Razdevšek Gašper (51913);Physics (Razdevšek Gašper (51913));2
2014;Cupar Tina (37831);Psychology (Cupar Tina (37831));1
2017;Cupar Tina (37831);Sociology (Cupar Tina (37831));1
2015;Naji Franjo (34270);Medicine (Naji Franjo (34270));2
2020;Naji Franjo (34270);Medicine (Naji Franjo (34270));1
2021;Naji Franjo (34270);Medicine (Naji Franjo (34270));2
2022;Naji Franjo (34270);Medicine (Naji Franjo (34270));1
2013;Pinter Urban (91530);Engineering (Pinter Urban (91530));1
2014;Cugmas Marjan (37184);Psychology (Cugmas Marjan (37184));1
2018;Vižintin Cuderman Tjaša (20252);Medicine (Vižintin Cuderman Tjaša (20252));1
2019;Vižintin Cuderman Tjaša (20252);Medicine (Vižintin Cuderman Tjaša (20252));1
2021;Vižintin Cuderman Tjaša (20252);Medicine (Vižintin Cuderman Tjaša (20252));1
2016;Tul Nataša (15638);Medicine (Tul Nataša (15638));1
2017;Tul Nataša (15638);Medicine (Tul Nataša (15638));1
2019;Jejčič Viktor (00371);Mathematics (Jejčič Viktor (00371));1
2019;Jejčič Viktor (00371);Medicine (Jejčič Viktor (00371));1
2015;Gačnik Dejan (34184);Geography (Gačnik Dejan (34184));1
2020;Kondrič Horvat Vesna (11070);History (Kondrič Horvat Vesna (11070));1
2016;Bole David (24301);Geography (Bole David (24301));1
2018;Cegnar Mateja (22658);Materials Science (Cegnar Mateja (22658));2
2020;Cegnar Mateja (22658);Chemistry (Cegnar Mateja (22658));1
2015;Špelič Denis (26035);Biology (Špelič Denis (26035));1
2015;Špelič Denis (26035);Computer Science (Špelič Denis (26035));1
2017;Špelič Denis (26035);Computer Science (Špelič Denis (26035));1
2015;Špelič Denis (26035);Medicine (Špelič Denis (26035));1
2017;Špelič Denis (26035);Medicine (Špelič Denis (26035));1
2020;Špelič Denis (26035);Environmental Science (Špelič Denis (26035));1
2020;Pavlovič Viljem (06793);Biology (Pavlovič Viljem (06793));1
2019;Caserman Simon (18325);Engineering (Caserman Simon (18325));1
2020;Kopač Peter (30983);Medicine (Kopač Peter (30983));1
2022;Kopač Peter (30983);Medicine (Kopač Peter (30983));1
2017;Korpar Bojan (92822);Medicine (Korpar Bojan (92822));1
2018;Korpar Bojan (92822);Medicine (Korpar Bojan (92822));1
2019;Tratnik Alenka (33491);Psychology (Tratnik Alenka (33491));1
2021;Tratnik Alenka (33491);Education (Tratnik Alenka (33491));1
2013;Grlj Nataša (29054);Chemistry (Grlj Nataša (29054));1
2018;Bračič Doris (51167);Materials Science (Bračič Doris (51167));1
2020;Bračič Doris (51167);Materials Science (Bračič Doris (51167));1
2020;Bračič Doris (51167);Medicine (Bračič Doris (51167));1
2022;Bračič Doris (51167);Medicine (Bračič Doris (51167));1
2016;Čerenak Andreja (18828);Biology (Čerenak Andreja (18828));1
2019;Čerenak Andreja (18828);Biology (Čerenak Andreja (18828));1
2016;Čerenak Andreja (18828);Medicine (Čerenak Andreja (18828));1
2019;Čerenak Andreja (18828);Medicine (Čerenak Andreja (18828));1
2018;Čerenak Andreja (18828);Chemistry (Čerenak Andreja (18828));1
2013;Drofenik Mihael (01360);Materials Science (Drofenik Mihael (01360));2
2014;Drofenik Mihael (01360);Materials Science (Drofenik Mihael (01360));2
2015;Drofenik Mihael (01360);Materials Science (Drofenik Mihael (01360));3
2017;Drofenik Mihael (01360);Materials Science (Drofenik Mihael (01360));1
2019;Drofenik Mihael (01360);Materials Science (Drofenik Mihael (01360));1
2014;Drofenik Mihael (01360);Chemistry (Drofenik Mihael (01360));2
2015;Drofenik Mihael (01360);Chemistry (Drofenik Mihael (01360));1
2016;Drofenik Mihael (01360);Chemistry (Drofenik Mihael (01360));3
2015;Drofenik Mihael (01360);Medicine (Drofenik Mihael (01360));1
2019;Drofenik Mihael (01360);Medicine (Drofenik Mihael (01360));1
2021;Drofenik Mihael (01360);Medicine (Drofenik Mihael (01360));1
2021;Antloga Špela (53072);Computer Science (Antloga Špela (53072));1
2017;Mrvar Manca (37478);Physics (Mrvar Manca (37478));10
2018;Mrvar Manca (37478);Physics (Mrvar Manca (37478));3
2019;Mrvar Manca (37478);Physics (Mrvar Manca (37478));2
2020;Mrvar Manca (37478);Physics (Mrvar Manca (37478));15
2021;Mrvar Manca (37478);Physics (Mrvar Manca (37478));8
2018;Mrvar Manca (37478);Materials Science (Mrvar Manca (37478));1
2020;Mrvar Manca (37478);Medicine (Mrvar Manca (37478));2
2021;Mrvar Manca (37478);Medicine (Mrvar Manca (37478));3
2022;Mrvar Manca (37478);Computer Science (Mrvar Manca (37478));1
2022;Mrvar Manca (37478);Art (Mrvar Manca (37478));1
2022;Zidarn Mihaela (25317);Medicine (Zidarn Mihaela (25317));1
2016;Jaklič Domen (28662);Biology (Jaklič Domen (28662));1
2013;Korva Miša (30696);Biology (Korva Miša (30696));1
2019;Korva Miša (30696);Biology (Korva Miša (30696));1
2013;Korva Miša (30696);Medicine (Korva Miša (30696));1
2019;Korva Miša (30696);Medicine (Korva Miša (30696));1
2022;Korva Miša (30696);Medicine (Korva Miša (30696));1
2019;Krajnc Mitja (28157);Medicine (Krajnc Mitja (28157));1
2021;Gorjan Mirjam (54233);Medicine (Gorjan Mirjam (54233));1
2016;Vršič Stanko (00962);Biology (Vršič Stanko (00962));1
2017;Vršič Stanko (00962);Biology (Vršič Stanko (00962));1
2019;Vršič Stanko (00962);Chemistry (Vršič Stanko (00962));1
2021;Vršič Stanko (00962);Environmental Science (Vršič Stanko (00962));1
2021;Vršič Stanko (00962);Medicine (Vršič Stanko (00962));1
2013;Fijan Sabina (19880);Medicine (Fijan Sabina (19880));1
2014;Fijan Sabina (19880);Medicine (Fijan Sabina (19880));2
2017;Fijan Sabina (19880);Medicine (Fijan Sabina (19880));1
2018;Fijan Sabina (19880);Medicine (Fijan Sabina (19880));1
2019;Fijan Sabina (19880);Medicine (Fijan Sabina (19880));3
2021;Fijan Sabina (19880);Medicine (Fijan Sabina (19880));4
2022;Fijan Sabina (19880);Medicine (Fijan Sabina (19880));2
2014;Fijan Sabina (19880);Biology (Fijan Sabina (19880));1
2016;Fijan Sabina (19880);Biology (Fijan Sabina (19880));1
2017;Fijan Sabina (19880);Biology (Fijan Sabina (19880));1
2018;Fijan Sabina (19880);Biology (Fijan Sabina (19880));1
2022;Fijan Sabina (19880);Biology (Fijan Sabina (19880));1
2017;Fijan Sabina (19880);Psychology (Fijan Sabina (19880));1
2017;Fijan Sabina (19880);Business (Fijan Sabina (19880));1
2018;Kokot Katja (55568);Business (Kokot Katja (55568));1
2013;Marhl Marko (13159);Biology (Marhl Marko (13159));1
2014;Marhl Marko (13159);Biology (Marhl Marko (13159));1
2015;Marhl Marko (13159);Biology (Marhl Marko (13159));2
2017;Marhl Marko (13159);Biology (Marhl Marko (13159));1
2020;Marhl Marko (13159);Biology (Marhl Marko (13159));1
2013;Marhl Marko (13159);Computer Science (Marhl Marko (13159));1
2018;Marhl Marko (13159);Computer Science (Marhl Marko (13159));1
2019;Marhl Marko (13159);Computer Science (Marhl Marko (13159));1
2021;Marhl Marko (13159);Computer Science (Marhl Marko (13159));3
2013;Marhl Marko (13159);Medicine (Marhl Marko (13159));1
2014;Marhl Marko (13159);Medicine (Marhl Marko (13159));1
2015;Marhl Marko (13159);Medicine (Marhl Marko (13159));3
2017;Marhl Marko (13159);Medicine (Marhl Marko (13159));3
2019;Marhl Marko (13159);Medicine (Marhl Marko (13159));1
2020;Marhl Marko (13159);Medicine (Marhl Marko (13159));4
2021;Marhl Marko (13159);Medicine (Marhl Marko (13159));7
2022;Marhl Marko (13159);Medicine (Marhl Marko (13159));3
2013;Marhl Marko (13159);Mathematics (Marhl Marko (13159));1
2015;Marhl Marko (13159);Mathematics (Marhl Marko (13159));1
2013;Marhl Marko (13159);Physics (Marhl Marko (13159));2
2015;Marhl Marko (13159);Physics (Marhl Marko (13159));1
2014;Marhl Marko (13159);Chemistry (Marhl Marko (13159));1
2017;Marhl Marko (13159);Chemistry (Marhl Marko (13159));2
2019;Marhl Marko (13159);Chemistry (Marhl Marko (13159));1
2020;Marhl Marko (13159);Chemistry (Marhl Marko (13159));2
2021;Marhl Marko (13159);Chemistry (Marhl Marko (13159));1
2017;Marhl Marko (13159);Sociology (Marhl Marko (13159));1
2021;Kramer Stanko (53573);Medicine (Kramer Stanko (53573));2
2013;Rudolf Rebeka (14335);Engineering (Rudolf Rebeka (14335));1
2015;Rudolf Rebeka (14335);Engineering (Rudolf Rebeka (14335));1
2016;Rudolf Rebeka (14335);Engineering (Rudolf Rebeka (14335));1
2018;Rudolf Rebeka (14335);Engineering (Rudolf Rebeka (14335));3
2021;Rudolf Rebeka (14335);Engineering (Rudolf Rebeka (14335));1
2013;Rudolf Rebeka (14335);Materials Science (Rudolf Rebeka (14335));1
2014;Rudolf Rebeka (14335);Materials Science (Rudolf Rebeka (14335));9
2015;Rudolf Rebeka (14335);Materials Science (Rudolf Rebeka (14335));3
2016;Rudolf Rebeka (14335);Materials Science (Rudolf Rebeka (14335));3
2017;Rudolf Rebeka (14335);Materials Science (Rudolf Rebeka (14335));5
2018;Rudolf Rebeka (14335);Materials Science (Rudolf Rebeka (14335));10
2019;Rudolf Rebeka (14335);Materials Science (Rudolf Rebeka (14335));7
2020;Rudolf Rebeka (14335);Materials Science (Rudolf Rebeka (14335));11
2021;Rudolf Rebeka (14335);Materials Science (Rudolf Rebeka (14335));8
2022;Rudolf Rebeka (14335);Materials Science (Rudolf Rebeka (14335));3
2014;Rudolf Rebeka (14335);Medicine (Rudolf Rebeka (14335));2
2015;Rudolf Rebeka (14335);Medicine (Rudolf Rebeka (14335));2
2016;Rudolf Rebeka (14335);Medicine (Rudolf Rebeka (14335));1
2017;Rudolf Rebeka (14335);Medicine (Rudolf Rebeka (14335));1
2018;Rudolf Rebeka (14335);Medicine (Rudolf Rebeka (14335));2
2019;Rudolf Rebeka (14335);Medicine (Rudolf Rebeka (14335));4
2020;Rudolf Rebeka (14335);Medicine (Rudolf Rebeka (14335));5
2021;Rudolf Rebeka (14335);Medicine (Rudolf Rebeka (14335));3
2022;Rudolf Rebeka (14335);Medicine (Rudolf Rebeka (14335));8
2014;Rudolf Rebeka (14335);Physics (Rudolf Rebeka (14335));1
2015;Rudolf Rebeka (14335);Physics (Rudolf Rebeka (14335));1
2020;Rudolf Rebeka (14335);Physics (Rudolf Rebeka (14335));1
2021;Rudolf Rebeka (14335);Physics (Rudolf Rebeka (14335));1
2015;Rudolf Rebeka (14335);Chemistry (Rudolf Rebeka (14335));1
2017;Rudolf Rebeka (14335);Chemistry (Rudolf Rebeka (14335));2
2018;Rudolf Rebeka (14335);Chemistry (Rudolf Rebeka (14335));1
2019;Rudolf Rebeka (14335);Chemistry (Rudolf Rebeka (14335));1
2022;Rudolf Rebeka (14335);Chemistry (Rudolf Rebeka (14335));2
2020;Rudolf Rebeka (14335);Environmental Science (Rudolf Rebeka (14335));1
2013;Venturini Peter (12363);Materials Science (Venturini Peter (12363));1
2015;Turk Samo (29773);Chemistry (Turk Samo (29773));1
2015;Turk Samo (29773);Computer Science (Turk Samo (29773));1
2015;Turk Samo (29773);Medicine (Turk Samo (29773));1
2019;Leber Žiga (52029);Computer Science (Leber Žiga (52029));1
2022;Leber Žiga (52029);Computer Science (Leber Žiga (52029));1
2016;Čebron Lipovec Nanča (34096);Medicine (Čebron Lipovec Nanča (34096));2
2017;Čebron Lipovec Nanča (34096);Medicine (Čebron Lipovec Nanča (34096));1
2014;Mrhar Aleš (06086);Medicine (Mrhar Aleš (06086));2
2016;Mrhar Aleš (06086);Medicine (Mrhar Aleš (06086));2
2019;Mrhar Aleš (06086);Medicine (Mrhar Aleš (06086));1
2019;Mrhar Aleš (06086);Biology (Mrhar Aleš (06086));1
2014;Hočevar Marko (18836);Engineering (Hočevar Marko (18836));1
2018;Hočevar Marko (18836);Materials Science (Hočevar Marko (18836));1
2020;Hočevar Marko (18836);Materials Science (Hočevar Marko (18836));1
2019;Hočevar Marko (18836);Mathematics (Hočevar Marko (18836));1
2019;Hočevar Marko (18836);Medicine (Hočevar Marko (18836));1
2020;Hočevar Marko (18836);Computer Science (Hočevar Marko (18836));1
2022;Hočevar Marko (18836);Computer Science (Hočevar Marko (18836));1
2020;Hočevar Marko (18836);Environmental Science (Hočevar Marko (18836));1
2013;Čemažar Matjaž (18176);Engineering (Čemažar Matjaž (18176));1
2015;Mrak Peter (27734);Engineering (Mrak Peter (27734));1
2013;Križan Jerneja (91817);Geography (Križan Jerneja (91817));1
2013;Potočnik Topler Jasna (37773);History (Potočnik Topler Jasna (37773));1
2016;Potočnik Topler Jasna (37773);History (Potočnik Topler Jasna (37773));1
2017;Potočnik Topler Jasna (37773);Geography (Potočnik Topler Jasna (37773));1
2021;Potočnik Topler Jasna (37773);Geography (Potočnik Topler Jasna (37773));1
2017;Potočnik Topler Jasna (37773);Business (Potočnik Topler Jasna (37773));1
2021;Potočnik Topler Jasna (37773);Business (Potočnik Topler Jasna (37773));1
2019;Potočnik Topler Jasna (37773);Sociology (Potočnik Topler Jasna (37773));1
2021;Potočnik Topler Jasna (37773);Agricultural And Food Sciences (Potočnik Topler Jasna (37773));1
2021;Potočnik Topler Jasna (37773);Computer Science (Potočnik Topler Jasna (37773));1
2021;Potočnik Topler Jasna (37773);Medicine (Potočnik Topler Jasna (37773));1
2015;Georgiev Dejan (30915);Medicine (Georgiev Dejan (30915));1
2022;Georgiev Dejan (30915);Medicine (Georgiev Dejan (30915));1
2019;Tesovnik Tanja (38146);Biology (Tesovnik Tanja (38146));1
2016;Schmitzer Valentina (29419);Biology (Schmitzer Valentina (29419));1
2016;Schmitzer Valentina (29419);Medicine (Schmitzer Valentina (29419));1
2021;Zavrl Irena (04256);Medicine (Zavrl Irena (04256));1
2015;Vršnik Perše Tina (24346);Psychology (Vršnik Perše Tina (24346));1
2020;Vršnik Perše Tina (24346);Psychology (Vršnik Perše Tina (24346));2
2015;Vršnik Perše Tina (24346);Sociology (Vršnik Perše Tina (24346));1
2018;Vršnik Perše Tina (24346);Sociology (Vršnik Perše Tina (24346));1
2015;Gajšek Brigita (29194);Business (Gajšek Brigita (29194));1
2016;Gajšek Brigita (29194);Business (Gajšek Brigita (29194));1
2018;Gajšek Brigita (29194);Business (Gajšek Brigita (29194));1
2019;Gajšek Brigita (29194);Business (Gajšek Brigita (29194));1
2020;Gajšek Brigita (29194);Business (Gajšek Brigita (29194));1
2021;Gajšek Brigita (29194);Business (Gajšek Brigita (29194));2
2022;Gajšek Brigita (29194);Business (Gajšek Brigita (29194));3
2016;Gajšek Brigita (29194);Computer Science (Gajšek Brigita (29194));1
2018;Gajšek Brigita (29194);Computer Science (Gajšek Brigita (29194));1
2019;Gajšek Brigita (29194);Computer Science (Gajšek Brigita (29194));1
2020;Gajšek Brigita (29194);Computer Science (Gajšek Brigita (29194));4
2021;Gajšek Brigita (29194);Computer Science (Gajšek Brigita (29194));1
2019;Gajšek Brigita (29194);Engineering (Gajšek Brigita (29194));1
2020;Gajšek Brigita (29194);Engineering (Gajšek Brigita (29194));1
2020;Gajšek Brigita (29194);Medicine (Gajšek Brigita (29194));1
2021;Gajšek Brigita (29194);Medicine (Gajšek Brigita (29194));2
2022;Gajšek Brigita (29194);Medicine (Gajšek Brigita (29194));1
2015;Sever Drago (10160);Engineering (Sever Drago (10160));1
2018;Sever Drago (10160);Computer Science (Sever Drago (10160));1
2021;Sever Drago (10160);Computer Science (Sever Drago (10160));3
2020;Marc Janja (12189);Medicine (Marc Janja (12189));1
2018;Pokorn Marko (15476);Medicine (Pokorn Marko (15476));1
2022;Pokorn Marko (15476);Medicine (Pokorn Marko (15476));1
2013;Šafarič Riko (06824);Materials Science (Šafarič Riko (06824));1
2014;Šafarič Riko (06824);Materials Science (Šafarič Riko (06824));1
2017;Šafarič Riko (06824);Materials Science (Šafarič Riko (06824));1
2019;Šafarič Riko (06824);Materials Science (Šafarič Riko (06824));2
2014;Šafarič Riko (06824);Physics (Šafarič Riko (06824));1
2016;Šafarič Riko (06824);Environmental Science (Šafarič Riko (06824));1
2020;Šafarič Riko (06824);Environmental Science (Šafarič Riko (06824));1
2016;Šafarič Riko (06824);Medicine (Šafarič Riko (06824));1
2019;Šafarič Riko (06824);Medicine (Šafarič Riko (06824));1
2020;Šafarič Riko (06824);Medicine (Šafarič Riko (06824));1
2021;Šafarič Riko (06824);Medicine (Šafarič Riko (06824));1
2022;Šafarič Riko (06824);Medicine (Šafarič Riko (06824));1
2016;Šafarič Riko (06824);Computer Science (Šafarič Riko (06824));1
2020;Šafarič Riko (06824);Computer Science (Šafarič Riko (06824));1
2022;Šafarič Riko (06824);Computer Science (Šafarič Riko (06824));1
2018;Šafarič Riko (06824);Engineering (Šafarič Riko (06824));1
